Name,Subject,Level,Candidates,Mean Grade,1%,2%,3%,4%,5%,6%,7%,Session,Year
ALBANIA A LIT HL,ALBANIA A LIT,HL,26,6.65,0,0,0,0,3.8,26.9,69.2,May,2020
ALBANIA A LIT SL,ALBANIA A LIT,SL,34,6.56,0,0,0,0,11.8,20.6,67.6,May,2020
AMHARIC A LIT HL,AMHARIC A LIT,HL,26,6.88,0,0,0,0,0,11.5,88.5,May,2020
AMHARIC A LIT SL,AMHARIC A LIT,SL,24,6.42,0,0,0,0,8.3,41.7,50,May,2020
ARABIC A LAL HL,ARABIC A LAL,HL,177,5.9,0,0,0.6,0,24.3,58.8,16.4,May,2020
ARABIC A LAL SL,ARABIC A LAL,SL,351,5.73,0,0,0.6,6.3,28.5,49,15.7,May,2020
ARABIC A LIT HL,ARABIC A LIT,HL,59,5.68,0,0,1.7,16.9,22,30.5,28.8,May,2020
ARABIC A LIT SL,ARABIC A LIT,SL,277,5.49,0,1.5,5.6,16.4,27.1,18.2,31.2,May,2020
ARMENIA A LIT SL,ARMENIA A LIT,SL,27,6.59,0,0,0,0,3.7,33.3,63,May,2020
AZERBAI A LIT HL,AZERBAI A LIT,HL,27,6.78,0,0,0,0,0,22.2,77.8,May,2020
BENGALI A LIT SL,BENGALI A LIT,SL,32,6.34,0,0,0,0,21.9,21.9,56.3,May,2020
BOSNIAN A LIT HL,BOSNIAN A LIT,HL,45,6.02,0,0,0,2.2,22.2,46.7,28.9,May,2020
BOSNIAN A LIT SL,BOSNIAN A LIT,SL,10,5.9,0,0,0,0,30,50,20,May,2020
BULGARI A LIT HL,BULGARI A LIT,HL,49,6.26,0,0,0,2.1,12.8,42.6,42.6,May,2020
BULGARI A LIT SL,BULGARI A LIT,SL,17,6.19,0,0,0,0,25,31.3,43.8,May,2020
CATALAN A LIT HL,CATALAN A LIT,HL,148,6.18,0,0,0,1.4,17.6,43.2,37.8,May,2020
CATALAN A LIT SL,CATALAN A LIT,SL,27,5.37,0,0,0,18.5,33.3,40.7,7.4,May,2020
CHINESE A LAL HL,CHINESE A LAL,HL,731,6.12,0,0,0.1,2.3,15.3,49.3,32.9,May,2020
CHINESE A LAL SL,CHINESE A LAL,SL,1694,6.2,0,0,0.1,1.7,12.3,49.9,36.1,May,2020
CHINESE A LIT HL,CHINESE A LIT,HL,577,5.82,0,0,0,5.4,27.7,46.9,20,May,2020
CHINESE A LIT SL,CHINESE A LIT,SL,1537,5.74,0,0,0.7,6.2,30.7,43.4,19,May,2020
CROATIA A LIT HL,CROATIA A LIT,HL,52,6.06,0,0,0,3.8,17.3,48.1,30.8,May,2020
CROATIA A LIT SL,CROATIA A LIT,SL,26,5.65,0,0,0,11.5,38.5,23.1,26.9,May,2020
CZECH A LIT HL,CZECH A LIT,HL,99,6.29,0,0,0,4.1,11.2,36.7,48,May,2020
CZECH A LIT SL,CZECH A LIT,SL,78,5.96,0,0,1.3,5.3,28.9,25,39.5,May,2020
DANISH A LIT HL,DANISH A LIT,HL,174,5.87,0,0,0.6,9.2,28.2,27,35.1,May,2020
DANISH A LIT SL,DANISH A LIT,SL,145,5.76,0,0,3.5,11.2,21,34.3,30.1,May,2020
DUTCH A LAL HL,DUTCH A LAL,HL,129,5.43,0,0,0,13.2,39.5,38,9.3,May,2020
DUTCH A LAL SL,DUTCH A LAL,SL,218,5.86,0,0,1.4,6.9,23.9,40.4,27.5,May,2020
DUTCH A LIT HL,DUTCH A LIT,HL,18,5.94,0,0,0,5.6,27.8,33.3,33.3,May,2020
DUTCH A LIT SL,DUTCH A LIT,SL,132,5.04,0,0.8,6.9,19.1,40.5,26.7,6.1,May,2020
ENGLISH A LAL HL,ENGLISH A LAL,HL,30769,5.14,0,0.4,4.9,21.4,35.2,29.4,8.7,May,2020
ENGLISH A LAL SL,ENGLISH A LAL,SL,18786,5.45,0,0.2,2.4,14,32.1,38,13.4,May,2020
ENGLISH A LIT HL,ENGLISH A LIT,HL,37291,4.84,0,0.5,5.9,29.9,41.1,18,4.5,May,2020
ESTONIA A LIT HL,ESTONIA A LIT,HL,14,6.79,0,0,0,0,0,21.4,78.6,May,2020
ESTONIA A LIT SL,ESTONIA A LIT,SL,17,6.56,0,0,0,0,12.5,18.8,68.8,May,2020
FILIPIN A LIT HL,FILIPIN A LIT,HL,12,5.75,0,0,0,0,41.7,41.7,16.7,May,2020
FILIPIN A LIT SL,FILIPIN A LIT,SL,60,5.3,0,3.3,8.3,11.7,26.7,31.7,18.3,May,2020
FINNISH A LIT HL,FINNISH A LIT,HL,144,5.9,0,0,0,4.2,28,42,25.9,May,2020
FINNISH A LIT SL,FINNISH A LIT,SL,162,5.7,0,0,0.6,11.3,26.3,41.3,20.6,May,2020
FRENCH A LAL HL,FRENCH A LAL,HL,610,5.44,0,0,1.8,17.5,32.2,31.6,16.9,May,2020
FRENCH A LAL SL,FRENCH A LAL,SL,550,5.68,0,0,0.9,12.1,27.4,36.9,22.7,May,2020
FRENCH A LIT HL,FRENCH A LIT,HL,404,5.59,0,0,1.7,13.7,30.4,32.4,21.7,May,2020
FRENCH A LIT SL,FRENCH A LIT,SL,302,5.37,0,0,3,18.4,32.8,29.8,16.1,May,2020
GEORGIA A LIT HL,GEORGIA A LIT,HL,37,6.3,0,0,0,2.7,10.8,40.5,45.9,May,2020
GERMAN A LAL HL,GERMAN A LAL,HL,441,5.68,0,0,0.9,9.1,29.2,42.8,18,May,2020
GERMAN A LAL SL,GERMAN A LAL,SL,560,5.62,0,0,0.5,11.6,30.8,39.4,17.6,May,2020
GERMAN A LIT HL,GERMAN A LIT,HL,576,5.41,0,0,1.7,13.7,40.2,30.3,14.1,May,2020
GERMAN A LIT SL,GERMAN A LIT,SL,312,5.31,0,0.7,3.9,18,31.8,31.8,13.8,May,2020
HEBREW A LIT SL,HEBREW A LIT,SL,47,6.33,0,0,0,6.7,6.7,33.3,53.3,May,2020
HINDI A LIT HL,HINDI A LIT,HL,47,6,0,0,0,2.1,21.3,51.1,25.5,May,2020
HINDI A LIT SL,HINDI A LIT,SL,133,5.97,0,0,0.8,9.1,18.2,36.4,35.6,May,2020
HUNGARI A LIT HL,HUNGARI A LIT,HL,20,6.5,0,0,0,0,10,30,60,May,2020
HUNGARI A LIT SL,HUNGARI A LIT,SL,61,6.27,0,0,0,3.3,13.3,36.7,46.7,May,2020
INDONES A LAL HL,INDONES A LAL,HL,111,5.56,0,0,0.9,12.7,31.8,38.2,16.4,May,2020
INDONES A LAL SL,INDONES A LAL,SL,244,5.95,0,0,0,5.3,21,47.3,26.3,May,2020
INDONES A LIT HL,INDONES A LIT,HL,62,6.11,0,0,0,0,21,46.8,32.3,May,2020
INDONES A LIT SL,INDONES A LIT,SL,139,6.04,0,0,0.7,3.6,23.4,35.8,36.5,May,2020
ITALIAN A LAL HL,ITALIAN A LAL,HL,98,5.97,0,0,0,6.1,18.4,48,27.6,May,2020
ITALIAN A LAL SL,ITALIAN A LAL,SL,128,6.2,0,0,0,0,14.1,51.6,34.4,May,2020
ITALIAN A LIT HL,ITALIAN A LIT,HL,192,5.33,0,0,2.1,16.7,37,34.9,9.4,May,2020
ITALIAN A LIT SL,ITALIAN A LIT,SL,156,5.08,0,0.6,3.2,26,37,23.4,9.7,May,2020
JAPANES A LAL HL,JAPANES A LAL,HL,136,5.87,0,0,0,5.2,26.7,44.4,23.7,May,2020
JAPANES A LAL SL,JAPANES A LAL,SL,130,5.82,0,0,0,3.8,27.7,50.8,17.7,May,2020
JAPANES A LIT HL,JAPANES A LIT,HL,103,6.36,0,0,0,1.9,9.7,38.8,49.5,May,2020
JAPANES A LIT SL,JAPANES A LIT,SL,147,5.94,0,0,0,7.9,22.9,36.4,32.9,May,2020
KAZAKH A LIT SL,KAZAKH A LIT,SL,17,5.18,0,0,0,17.6,52.9,23.5,5.9,May,2020
KHMER A LIT HL,KHMER A LIT,HL,18,6.67,0,0,0,0,0,33.3,66.7,May,2020
KHMER A LIT SL,KHMER A LIT,SL,24,6.42,0,0,0,0,4.2,50,45.8,May,2020
KOREAN A LAL HL,KOREAN A LAL,HL,118,6.4,0,0,0,0,5.9,48.3,45.8,May,2020
KOREAN A LAL SL,KOREAN A LAL,SL,258,6.4,0,0,0,1.2,7.8,41.5,49.6,May,2020
KOREAN A LIT HL,KOREAN A LIT,HL,109,6,0,0,0,1.8,20.2,54.1,23.9,May,2020
KOREAN A LIT SL,KOREAN A LIT,SL,375,6.06,0,0,0.3,2.4,19.1,47.3,30.9,May,2020
LAO A LIT SL,LAO A LIT,SL,10,5.6,0,0,0,10,30,50,10,May,2020
LATVIAN A LIT HL,LATVIAN A LIT,HL,32,6.41,0,0,0,3.1,9.4,31.3,56.3,May,2020
LATVIAN A LIT SL,LATVIAN A LIT,SL,21,6.1,0,0,0,10,0,60,30,May,2020
LITHUAN A LIT HL,LITHUAN A LIT,HL,30,6.43,0,0,0,0,10,36.7,53.3,May,2020
LITHUAN A LIT SL,LITHUAN A LIT,SL,79,6.29,0,1.3,0,1.3,7.7,44.9,44.9,May,2020
MACEDON A LIT HL,MACEDON A LIT,HL,38,6.92,0,0,0,0,2.6,2.6,94.7,May,2020
MACEDON A LIT SL,MACEDON A LIT,SL,17,6.47,0,0,0,0,11.8,29.4,58.8,May,2020
MALAY A LIT HL,MALAY A LIT,HL,28,6.11,0,0,0,0,14.3,60.7,25,May,2020
MALAY A LIT SL,MALAY A LIT,SL,242,6.65,0,0,0,0.4,1.2,31,67.4,May,2020
MOD. GR A LAL HL,MOD. GR A LAL,HL,73,6.22,0,0,0,1.4,13.7,46.6,38.4,May,2020
MOD. GR A LIT HL,MOD. GR A LIT,HL,29,5.79,0,0,0,13.8,20.7,37.9,27.6,May,2020
MOD. GR A LIT SL,MOD. GR A LIT,SL,302,5.94,0,0,1.3,8.3,21.6,32.2,36.5,May,2020
MONGOLI A LIT HL,MONGOLI A LIT,HL,15,6.53,0,0,0,6.7,6.7,13.3,73.3,May,2020
MONGOLI A LIT SL,MONGOLI A LIT,SL,15,5.79,0,0,0,21.4,7.1,42.9,28.6,May,2020
NEPALI A LIT SL,NEPALI A LIT,SL,36,6.68,0,0,0,2.9,0,23.5,73.5,May,2020
NORWEGI A LAL HL,NORWEGI A LAL,HL,23,6.22,0,0,0,4.3,17.4,30.4,47.8,May,2020
NORWEGI A LAL SL,NORWEGI A LAL,SL,24,6.33,0,0,0,4.2,12.5,29.2,54.2,May,2020
