Subject,Candidates,Mean Grade,% 1,% 2,% 3,% 4,% 5,% 6,% 7
ALBANIA A LIT HL,28,5.93,,,,7.1,25.0,35.7,32.1
ALBANIA A LIT SL,45,6.28,,,,2.3,16.3,32.6,48.8
AMHARIC A LIT HL,24,6.42,,,,,12.5,33.3,54.2
AMHARIC A LIT SL,30,6.13,,,,6.7,23.3,20.0,50.0
ARABIC A LAL HL,195,5.78,,,,5.7,26.8,51.5,16.0
ARABIC A LAL SL,462,5.67,,,0.9,6.1,32.0,47.2,13.9
ARABIC A LIT HL,34,5.26,,,,29.4,32.4,20.6,17.6
ARABIC A LIT SL,312,5.81,,1.3,1.6,12.5,23.7,21.2,39.7
ARMENIA A LIT SL,42,6.71,,,,,2.4,23.8,73.8
AZERBAI A LIT HL,15,6.53,,,,,,46.7,53.3
AZERBAI A LIT SL,10,6.30,,,,10.0,,40.0,50.0
BENGALI A LIT SL,31,6.26,,,,,25.8,22.6,51.6
BOSNIAN A LIT HL,39,6.03,,,,5.1,20.5,41.0,33.3
BOSNIAN A LIT SL,11,6.18,,,9.1,,9.1,27.3,54.5
BULGARI A LIT HL,26,6.40,,,,,4.0,52.0,44.0
BULGARI A LIT SL,25,5.91,,,4.3,13.0,13.0,26.1,43.5
CATALAN A LIT HL,193,6.23,,,,1.1,11.6,50.5,36.8
CATALAN A LIT SL,33,5.59,,,,21.9,25.0,25.0,28.1
CHINESE A LAL HL,575,6.11,,,0.2,3.3,16.1,46.2,34.2
CHINESE A LAL SL,"1,792",6.36,,,0.4,1.3,11.8,35.0,51.5
CHINESE A LIT HL,427,5.87,,,0.2,3.8,22.1,56.3,17.6
CHINESE A LIT SL,"1,504",6.02,,0.1,0.7,3.1,18.7,48.6,28.9
CROATIA A LIT HL,40,6.13,,,,2.5,15.0,50.0,32.5
CROATIA A LIT SL,39,6.05,,,,5.1,25.6,28.2,41.0
CZECH A LIT HL,84,6.30,,,,3.6,11.9,35.7,48.8
CZECH A LIT SL,68,5.86,,,1.5,13.6,16.7,33.3,34.8
DANISH A LIT HL,125,5.53,,,1.6,15.2,32.0,31.2,20.0
DANISH A LIT SL,149,5.86,,,,12.1,20.1,37.6,30.2
DUTCH A LAL HL,110,5.43,,,0.9,17.6,29.6,41.7,10.2
DUTCH A LAL SL,219,5.75,,,0.9,9.2,30.9,32.3,26.7
DUTCH A LIT HL,16,5.19,,,6.3,6.3,56.3,25.0,6.3
DUTCH A LIT SL,122,5.25,,0.8,3.3,18.9,39.3,22.1,15.6
ENGLISH A LAL HL,"33,368",5.13,0.0,0.4,5.3,21.3,34.9,30.0,8.1
ENGLISH A LAL SL,"20,299",5.44,0.0,0.5,2.3,12.9,32.6,39.7,11.9
ENGLISH A LIT HL,"32,784",4.87,0.0,0.6,5.6,29.0,40.6,19.3,4.8
ENGLISH A LIT SL,"6,039",5.34,,0.4,4.8,17.9,31.9,28.0,17.1
ESTONIA A LIT HL,16,6.38,,,,,6.3,50.0,43.8
ESTONIA A LIT SL,12,6.36,,,9.1,,,27.3,63.6
FILIPIN A LIT HL,13,5.92,,,,,23.1,61.5,15.4
FILIPIN A LIT SL,78,5.52,,,2.6,16.9,23.4,40.3,16.9
FINNISH A LIT HL,118,5.69,,,,8.5,26.5,52.1,12.8
FINNISH A LIT SL,174,5.73,,,1.2,5.9,29.6,45.0,18.3
FRENCH A LAL HL,549,5.41,,0.2,4.4,15.9,30.3,31.6,17.6
FRENCH A LAL SL,723,5.67,,,2.2,11.6,26.5,36.6,23.1
FRENCH A LIT HL,383,5.56,,,1.8,15.5,29.9,29.9,22.8
FRENCH A LIT SL,392,5.70,,,1.0,10.2,31.7,32.2,24.8
GEORGIA A LIT HL,13,6.46,,,,,7.7,38.5,53.8
GEORGIA A LIT SL,13,6.42,,,,,8.3,41.7,50.0
GERMAN A LAL HL,413,5.76,,,1.9,6.1,26.9,43.7,21.4
GERMAN A LAL SL,528,5.62,,,2.3,12.2,24.2,43.5,17.7
GERMAN A LIT HL,484,5.32,,0.4,1.9,16.7,39.9,28.8,12.3
GERMAN A LIT SL,314,5.58,,,2.2,9.9,31.6,39.9,16.3
HEBREW A LIT SL,49,6.24,,,,4.1,10.2,42.9,42.9
HINDI A LIT HL,37,6.03,,,,2.7,13.5,62.2,21.6
HINDI A LIT SL,112,6.29,,,2.7,0.9,10.7,35.7,50.0
HUNGARI A LIT HL,25,6.36,,,,,12.0,40.0,48.0
HUNGARI A LIT SL,55,5.89,,,3.7,5.6,16.7,46.3,27.8
INDONES A LAL HL,179,5.53,,0.6,3.9,9.5,31.8,36.9,17.3
INDONES A LAL SL,372,5.98,,,0.3,4.0,20.2,48.9,26.6
INDONES A LIT HL,53,6.12,,,,1.9,17.3,48.1,32.7
INDONES A LIT SL,108,5.49,,,5.6,8.4,29.9,43.9,12.1
ITALIAN A LAL HL,129,6.05,,,,5.4,18.6,41.9,34.1
ITALIAN A LAL SL,160,6.18,,,,1.9,10.6,55.6,31.9
ITALIAN A LIT HL,147,5.30,,,2.0,17.7,37.4,34.0,8.8
ITALIAN A LIT SL,166,5.51,,,4.9,14.8,27.2,30.2,22.8
JAPANES A LAL HL,124,5.83,,,,6.5,27.4,42.7,23.4
JAPANES A LAL SL,113,5.59,,,1.8,9.7,34.5,35.4,18.6
JAPANES A LIT HL,85,6.27,,,,1.2,15.3,38.8,44.7
JAPANES A LIT SL,131,6.16,,,,3.8,17.6,37.4,41.2
KAZAKH A LIT SL,20,5.25,,,5.0,10.0,45.0,35.0,5.0
KHMER A LIT HL,11,6.73,,,,,9.1,9.1,81.8
KHMER A LIT SL,31,6.19,,,,,25.8,29.0,45.2
KOREAN A LAL HL,115,6.09,,,,3.5,20.2,40.4,36.0
KOREAN A LAL SL,276,6.13,,,0.4,2.2,16.7,45.8,34.9
KOREAN A LIT HL,77,6.04,,,,3.9,22.1,40.3,33.8
KOREAN A LIT SL,382,6.04,,,0.8,1.9,22.6,41.8,33.0
LATVIAN A LIT HL,33,6.23,,,,,10.0,56.7,33.3
LATVIAN A LIT SL,21,6.20,,,,,25.0,30.0,45.0
LITHUAN A LIT HL,43,6.44,,,,,9.3,37.2,53.5
LITHUAN A LIT SL,93,6.34,,,,1.1,9.9,42.9,46.2
MACEDON A LIT HL,44,6.93,,,,,,6.8,93.2
MACEDON A LIT SL,39,6.49,,,,2.6,10.3,23.1,64.1
MALAY A LIT HL,18,5.94,,,5.6,5.6,5.6,55.6,27.8
MALAY A LIT SL,189,6.71,,,,,1.6,25.9,72.5
